Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Beware The Slenderman,1,"Movie/Mini-Series,Documentary",HBO,23/01/2017,78,8,5.5,16
Bessie,1,"Drama,Movie/Mini-Series,Music",HBO,16/05/2015,75,20,6.4,20
Believer,1,"Movie/Mini-Series,Documentary,Music",HBO,25/06/2018,68,5,5.7,12
Belgravia,1,"Drama,Movie/Mini-Series",Epix,12/04/2020,70,16,7,5
Being Serena,1,"Sports,Movie/Mini-Series,News/Documentary,Documentary",HBO,02/05/2018,68,5,4.8,5
Being Mary Jane,1,"Drama,Movie/Mini-Series,Suspense",BET - Black Entertainment Television,02/07/2013,78,4,5.7,6
Behind the Candelabra,1,"Drama,Movie/Mini-Series",HBO,26/05/2013,83,30,7.7,85
Fosse/Verdon,1,"Drama,Movie/Mini-Series,Music",FX,09/04/2019,68,36,7.2,20
Flowers in the Attic,1,"Drama,Movie/Mini-Series,Horror",LIFETIME,18/01/2014,49,22,6.9,12
Flint,1,"Drama,Movie/Mini-Series",LIFETIME,28/10/2017,61,4,2.6,5
Fleming: The Man Who Would Be Bond,1,"Drama,Movie/Mini-Series,Action & Adventure",BBC America,29/01/2014,62,22,7.4,22
Five Came Back,1,"Movie/Mini-Series,News/Documentary,Talk & Interview,Documentary,Arts",Netflix,31/03/2017,81,13,7.2,19
Five,1,"Drama,Movie/Mini-Series",LIFETIME,10/10/2011,78,6,6.3,4
Filth: The Mary Whitehouse Story,1,"Drama,Movie/Mini-Series",BBC-2,28/05/2008,72,11,not available, 11 Critic Reviews
Fall to Grace,1,"Movie/Mini-Series,News/Documentary",HBO,28/03/2013,52,6,not available, 6 Critic Reviews
Fahrenheit 451,1,"Drama,Movie/Mini-Series,Science Fiction",HBO,19/05/2018,47,19,3.9,71
Evil Genius,1,"Movie/Mini-Series,News/Documentary,Documentary",Netflix,11/05/2018,71,6,7.6,30
Ethel,1,"Movie/Mini-Series,News/Documentary",HBO,18/10/2012,68,12,6.8,4
Escape At Dannemora,1,"Drama,Movie/Mini-Series",SHOWTIME,18/11/2018,78,27,7.8,63
Elvis Presley: The Searcher,1,"Movie/Mini-Series,News/Documentary,Documentary,Music",HBO,14/04/2018,84,13,7.2,13
Eat: The Story of Food,1,"Movie/Mini-Series,News/Documentary,Documentary,Food & Cooking",National Geographic,21/11/2014,61,4,not available, 4 Critic Reviews
Durham County,1,"Drama,Movie/Mini-Series",The Movie Network,07/05/2007,68,5,7.8,6
Dolly Parton's Coat of Many Colors,1,"Drama,Movie/Mini-Series,Music",NBC,10/12/2015,65,8,6.8,13
Dolly Parton's Christmas of Many Colors: Circle of Love,1,"Drama,Movie/Mini-Series,Music",NBC,30/11/2016,50,8,5.2,5
Dirty Dancing (2017),1,"Drama,Movie/Mini-Series,Music",,24/05/2017,39,16,2.4,24
"Diana, Our Mother: Her Life and Legacy",1,"Movie/Mini-Series,Documentary",HBO,24/07/2017,77,6,6.9,7
Descendants,1,"Comedy,Movie/Mini-Series,Action & Adventure,Fantasy,Science Fiction,Kids,Music",Disney Channel,31/07/2015,63,5,7.4,34
Deliverance Creek,1,"Drama,Movie/Mini-Series",LIFETIME,13/09/2014,57,5,8.1,19
Defending Jacob,1,"Drama,Movie/Mini-Series,Suspense",Apple TV+,24/04/2020,62,12,not available, 12 Critic Reviews
Death Comes to Pemberley,1,"Drama,Movie/Mini-Series,Suspense",PBS,26/12/2013,66,17,7.3,7
"Dear Mom, Love Cher",1,"Movie/Mini-Series,News/Documentary,Documentary",LIFETIME,06/05/2013,72,5,not available, 5 Critic Reviews
Deadwood: The Movie,1,"Drama,Movie/Mini-Series",HBO,31/05/2019,86,29,8.2,55
David Bowie: The Last Five Years,1,"Movie/Mini-Series,News/Documentary,Documentary,Music",HBO,08/01/2018,81,6,7.6,14
Das Boot (2019),1,"Drama,Movie/Mini-Series,Action & Adventure",HULU,17/06/2019,70,9,6.3,16
Dancing on the Edge,1,"Drama,Movie/Mini-Series",Starz,19/10/2013,65,14,7.1,8
"Crazy, Sexy, Cool: The TLC Story",1,"Drama,Movie/Mini-Series,Music",VH1,21/10/2013,57,6,6.4,8
Killer Inside: The Mind of Aaron Hernandez,1,"Sports,Movie/Mini-Series,Documentary",Netflix,15/01/2020,75,4,6.7,12
John McCain: For Whom the Bell Tolls,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,28/05/2018,78,10,5.6,18
Jodi Arias: Dirty Little Secret,1,"Drama,Movie/Mini-Series",LIFETIME,22/06/2013,52,7,4,9
Jim Henson's Turkey Hollow,1,"Drama,Movie/Mini-Series,Action & Adventure,Fantasy",LIFETIME,21/11/2015,50,5,2.9,7
JFK: The Smoking Gun,1,"Drama,Movie/Mini-Series,Documentary",ReelzChannel,03/11/2013,51,4,5,5
Jackie Robinson,1,"Sports,Movie/Mini-Series,Documentary",PBS,11/04/2016,83,10,5.3,16
In Vogue: The Editor's Eye,1,"Movie/Mini-Series,News/Documentary",HBO,06/12/2012,74,6,not available, 6 Critic Reviews
Icebox,1,"Drama,Movie/Mini-Series",HBO,07/12/2018,79,4,5.2,6
"I Love You, Now Die: The Commonwealth v. Michelle Carter",1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,09/07/2019,80,10,7,4
I Am The Night,1,"Drama,Movie/Mini-Series,Suspense",TNT,28/01/2019,59,26,5.9,31
Howards End,1,"Drama,Movie/Mini-Series",Starz,08/04/2018,86,15,6,33
How to Fix a Drug Scandal,1,"Movie/Mini-Series,Documentary",Netflix,01/04/2020,58,5,not available, 5 Critic Reviews
House of Versace,1,"Drama,Movie/Mini-Series",LIFETIME,05/10/2013,46,5,3.8,4
House of Cards,1,"Drama,Movie/Mini-Series,Suspense",PBS,18/11/1990,85,11,7.5,17
Houdini,1,"Drama,Movie/Mini-Series",The History Channel,01/09/2014,51,16,7.2,31
Homegrown: The Counter-Terror Dilemma,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,08/02/2016,77,4,not available, 4 Critic Reviews
Homecoming: A Film by Beyoncé,1,"Movie/Mini-Series,Documentary,Music",Netflix,17/04/2019,93,14,7.8,239
History of the Eagles,1,"Movie/Mini-Series,News/Documentary",SHOWTIME,15/02/2013,74,4,6.4,5
Hillary,1,"Movie/Mini-Series,Documentary",HULU,06/03/2020,76,19,1.5,65
Hemingway and Gellhorn,1,"Drama,Movie/Mini-Series",HBO,28/05/2012,54,22,6.2,14
Have No Fear: The Life of Pope John Paul II,1,"Movie/Mini-Series,News/Documentary",ABC,01/12/2005,35,20,6.2,13
Hatfields & McCoys,1,"Drama,Movie/Mini-Series",The History Channel,28/05/2012,68,20,7.8,33
Harley and the Davidsons,1,"Drama,Movie/Mini-Series",Discovery Channel,05/09/2016,57,8,7,9
Gunpowder,1,"Drama,Movie/Mini-Series",HBO,18/12/2017,63,10,6.3,36
Guava Island,1,"Drama,Movie/Mini-Series",Prime Video,13/04/2019,64,8,7.2,51
Grumpy Cat's Worst Christmas Ever,1,"Comedy,Drama,Movie/Mini-Series",LIFETIME,29/11/2014,35,8,4.4,18
Going Clear: Scientology and the Prison of Belief,1,"Movie/Mini-Series,Documentary",HBO,29/03/2015,84,21,7.8,50
Ghost Shark,1,"Drama,Movie/Mini-Series,Horror",SyFy,22/08/2013,32,10,2.9,9
Fyre Fraud,1,"Movie/Mini-Series,Documentary",HULU,14/01/2019,66,12,5.5,19
Normal People,1,"Drama,Movie/Mini-Series",HULU,29/04/2020,84,10,not available, 10 Critic Reviews
Becoming Cary Grant,1,"Movie/Mini-Series,Documentary",SHOWTIME,09/06/2017,62,6,not available, 6 Critic Reviews
Beautiful & Twisted,1,"Drama,Movie/Mini-Series",LIFETIME,31/01/2015,46,4,not available, 4 Critic Reviews
Beaches (2017),1,"Drama,Movie/Mini-Series",LIFETIME,21/01/2017,56,10,2.3,8
Baltimore Rising,1,"Drama,Movie/Mini-Series,News/Documentary",HBO,20/11/2017,78,4,5.1,10
Atlanta's Missing and Murdered: The Lost Children,1,"Movie/Mini-Series,Documentary",HBO,05/04/2020,79,8,not available, 8 Critic Reviews
At the Heart of Gold: Inside the USA Gymnastics Scandal,1,"Sports,Movie/Mini-Series,Documentary",HBO,03/05/2019,82,5,not available, 5 Critic Reviews
As You Like It,1,"Drama,Movie/Mini-Series",HBO,21/08/2007,75,15,not available, 15 Critic Reviews
Arthur & George,1,"Drama,Movie/Mini-Series",PBS,06/09/2015,73,10,5.8,4
Armistead Maupin's Tales of the City,1,"Drama,Movie/Mini-Series",Netflix,07/06/2019,63,15,6.5,12
Anne of Green Gables (2016),1,"Drama,Movie/Mini-Series",PBS,24/11/2016,63,4,not available, 4 Critic Reviews
Anna Nicole,1,"Drama,Movie/Mini-Series",LIFETIME,29/06/2013,45,10,5,6
Andre the Giant,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,10/04/2018,78,6,7.2,15
And Then There Were None (2016),1,"Drama,Movie/Mini-Series,Horror,Suspense",LIFETIME,13/03/2016,82,10,7.5,79
And the Oscar Goes to...,1,"Movie/Mini-Series,News/Documentary,Documentary",Turner Classic Movies,01/02/2014,73,5,8.6,5
All The Way (2016),1,"Drama,Movie/Mini-Series",HBO,21/05/2016,78,27,7.2,44
Alias Grace,1,"Drama,Movie/Mini-Series",CBC,03/11/2017,81,30,7,86
Agatha Christie’s The Witness for the Prosecution,1,"Drama,Movie/Mini-Series",Acorn TV,30/01/2017,79,7,6.7,19
After Truth: Disinformation and the Cost of Fake News,1,"Movie/Mini-Series,Documentary",HBO,19/03/2020,79,6,5.6,7
Addiction,1,"Drama,Movie/Mini-Series,News/Documentary",HBO,15/03/2007,70,12,not available, 12 Critic Reviews
Aaliyah: The Princess of R&B,1,"Drama,Movie/Mini-Series,Music",LIFETIME,15/11/2014,32,7,not available, 7 Critic Reviews
A.D.: The Bible Continues,1,"Drama,Movie/Mini-Series",NBC,05/04/2015,55,11,5.3,20
A Deadly Adoption,1,"Drama,Movie/Mini-Series",LIFETIME,20/06/2015,44,4,5.7,10
A Christmas Story Live!,1,"Movie/Mini-Series,Events & Specials,Music",FOX,17/12/2017,61,11,4.3,12
A Christmas Carol (2019),1,"Drama,Movie/Mini-Series,Fantasy",FX,19/12/2019,49,12,5.7,28
7 Days in Hell,1,"Comedy,Sports,Movie/Mini-Series",,11/07/2015,67,17,7.5,59
