Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Oliver Stone's Secret History of America,1,"Movie/Mini-Series,News/Documentary",SHOWTIME,12/11/2012,51,8,6.1,29
Olive Kitteridge,1,"Drama,Movie/Mini-Series",HBO,02/11/2014,89,34,8.2,122
O.J.: Made in America,1,"Sports,Movie/Mini-Series,Documentary",ABC,11/06/2016,96,21,8,175
O.G.,1,"Drama,Movie/Mini-Series",HBO,23/02/2019,69,8,6.6,8
Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,1,"Movie/Mini-Series,Talk & Interview,Documentary",HBO,09/04/2016,80,5,4.8,5
No One Saw a Thing,1,"Movie/Mini-Series,Documentary",SundanceTV,01/08/2019,71,5,not available, 5 Critic Reviews
Nightingale,1,"Drama,Movie/Mini-Series",HBO,29/05/2015,67,13,6.1,10
Neverland,1,"Drama,Movie/Mini-Series,Action & Adventure",SyFy,04/12/2011,59,14,6.9,15
My Dinner with Herve,1,"Drama,Movie/Mini-Series",HBO,20/10/2018,68,10,6.3,12
Muhammad Ali's Greatest Fight,1,"Drama,Movie/Mini-Series",HBO,05/10/2013,65,7,not available, 7 Critic Reviews
Mrs. Wilson,1,"Drama,Movie/Mini-Series",PBS,31/03/2019,70,8,7.4,12
Mrs. Harris,1,Movie/Mini-Series,HBO,25/02/2006,70,21,8.2,11
Mrs. America,1,"Drama,Movie/Mini-Series",HULU,15/04/2020,87,35,7.4,26
Mr. Dynamite: The Rise of James Brown,1,"Movie/Mini-Series,Documentary,Music",HBO,27/10/2014,79,13,7,5
Mosaic,1,"Drama,Movie/Mini-Series",HBO,22/01/2018,73,19,6.1,34
Mommy Dead and Dearest,1,"Movie/Mini-Series,Documentary",HBO,15/05/2017,71,4,7.8,6
Mitt,1,"Movie/Mini-Series,News/Documentary,Documentary",Netflix,24/01/2014,58,10,6.4,22
Sharknado 2: The Second One,1,"Comedy,Movie/Mini-Series,Horror,Science Fiction",SyFy,30/07/2014,50,17,5,53
Shangri-La (2019),1,"Movie/Mini-Series,Documentary,Music",SHOWTIME,12/07/2019,73,9,5,5
Self Made: Inspired by the Life of Madam C.J. Walker,1,"Drama,Movie/Mini-Series",Netflix,20/03/2020,64,17,5.2,11
Seduced and Abandoned,1,"Movie/Mini-Series,Documentary",HBO,28/10/2013,72,11,not available, 11 Critic Reviews
SEAL Team Six: The Raid on Osama bin Laden,1,"Movie/Mini-Series,Action & Adventure",National Geographic Wild,04/11/2012,54,13,4.7,13
Scott Turow's Innocent,1,"Drama,Movie/Mini-Series",TNT,29/11/2011,68,9,not available, 9 Critic Reviews
Sarah Silverman: We Are Miracles,1,"Comedy,Movie/Mini-Series",HBO,23/11/2013,75,7,5.5,28
Saints & Strangers,1,"Drama,Movie/Mini-Series",National Geographic,22/11/2015,70,14,5.3,9
Running with Beto,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,28/05/2019,71,7,not available, 7 Critic Reviews
Rosemary's Baby,1,"Drama,Movie/Mini-Series,Horror",NBC,11/05/2014,51,27,4.9,29
Roots (2016),1,"Drama,Movie/Mini-Series",LIFETIME,30/05/2016,83,33,6.4,58
Romeo Killer: The Chris Porco Story,1,"Drama,Movie/Mini-Series",LIFETIME,23/03/2013,66,5,not available, 5 Critic Reviews
Rolling Stone: Stories From the Edge,1,"Movie/Mini-Series,News/Documentary,Documentary,Music",HBO,06/11/2017,57,6,not available, 6 Critic Reviews
Robin Williams: Come Inside My Mind,1,"Movie/Mini-Series,Documentary",HBO,16/07/2018,78,19,7.9,9
Ring of Fire (2013),1,"Drama,Movie/Mini-Series",LIFETIME,27/05/2013,51,7,not available, 7 Critic Reviews
Ring of Fire,1,"Drama,Movie/Mini-Series,Action & Adventure",SHOWCASE,11/03/2013,45,4,4.6,5
Ricochet,1,"Drama,Movie/Mini-Series",TNT,30/11/2011,33,4,not available, 4 Critic Reviews
Restless,1,"Drama,Movie/Mini-Series,Action & Adventure",Sundance Channel,07/12/2012,75,12,6.8,8
Rest in Power: The Trayvon Martin Story,1,"Movie/Mini-Series,News/Documentary,Documentary",BET - Black Entertainment Television,30/07/2018,86,6,3.9,36
Requiem for the Dead: American Spring 2014,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,22/06/2015,64,5,not available, 5 Critic Reviews
Regarding Susan Sontag,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,08/12/2014,79,4,not available, 4 Critic Reviews
Rebellion,1,"Drama,Movie/Mini-Series",RTE One,03/01/2016,57,6,5.1,8
Psych: The Movie,1,"Comedy,Drama,Movie/Mini-Series",USA,07/12/2017,66,6,7.6,21
Prosecuting Casey Anthony,1,"Drama,Movie/Mini-Series",LIFETIME,19/01/2013,63,7,6.4,8
Planet Earth: Blue Planet II,1,"Movie/Mini-Series,News/Documentary,Documentary,Science",IFC,20/01/2018,97,7,8.2,90
Planet Earth II,1,"Drama,Movie/Mini-Series,Documentary,Science,Educational",AMC,18/02/2017,96,10,9.4,177
Picnic at Hanging Rock,1,"Drama,Movie/Mini-Series,Suspense",Prime Video,25/05/2018,62,15,5.5,20
Phil Spector,1,"Drama,Movie/Mini-Series",HBO,24/03/2013,60,30,5.1,16
Petals on the Wind,1,"Drama,Movie/Mini-Series,Horror",LIFETIME,26/05/2014,64,4,5.9,12
The Confession Killer,1,"Movie/Mini-Series,Documentary",Netflix,06/12/2019,78,5,5.1,10
The College Admissions Scandal,1,"Drama,Movie/Mini-Series",LIFETIME,12/10/2019,57,7,not available, 7 Critic Reviews
The Clinton Affair,1,"Movie/Mini-Series,News/Documentary,Documentary",A&E,18/11/2018,73,4,not available, 4 Critic Reviews
The Child in Time,1,"Drama,Movie/Mini-Series",PBS,01/04/2018,83,6,6.7,15
